ID,Value,IATI
COD,Congo (Kinshasa),Democratic Republic of the Congo
COK,Cook Islands,Cook Islands
XCS,Coral Sea Islands,Coral Sea Islands
CRI,Costa Rica,Costa Rica
CIV,Cote dIvoire,Côte d'Ivoire
HRV,Croatia,Croatia
CUB,Cuba,Cuba
CYP,Cyprus,Cyprus
CZE,Czechia,Czechia
DNK,Denmark,Denmark
XXD,Dhekelia,Dhekelia
DJI,Djibouti,Djibouti
DMA,Dominica,Dominica
DOM,Dominican Republic,Dominican Republic
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
SLV,El Salvador,El Salvador
GNQ,Equatorial Guinea,Equatorial Guinea
ERI,Eritrea,Eritrea
EST,Estonia,Estonia
ETH,Ethiopia,Ethiopia
XEU,Europa Island,Europa Island
FLK,Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas)
FRO,Faroe Islands,Faroe Islands
FJI,Fiji,Fiji
FIN,Finland,Finland
FRA,France,France
GUF,French Guiana,French Guiana
PYF,French Polynesia,French Polynesia
ATF,French Southern and Antarctic Lands,French Southern and Antarctic Lands
GAB,Gabon,Gabon
GMB,"Gambia, The",Gambia
XGZ,Gaza Strip,West Bank and Gaza
GEO,Georgia,Georgia
DEU,Germany,Germany
GHA,Ghana,Ghana
GIB,Gibraltar,Gibraltar
XGL,Glorioso Islands,Glorioso Islands
GRC,Greece,Greece
GRL,Greenland,Greenland
GRD,Grenada,Grenada
GLP,Guadeloupe,Guadeloupe
GUM,Guam,Guam
GTM,Guatemala,Guatemala
GGY,Guernsey,Guernsey
GIN,Guinea,Guinea
GNB,Guinea-Bissau,Guinea-Bissau
GUY,Guyana,Guyana
HTI,Haiti,Haiti
HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands
HND,Honduras,Honduras
HKG,Hong Kong,Hong Kong
XHO,Howland Island,Howland Island
HUN,Hungary,Hungary
ISL,Iceland,Iceland
IND,India,India
IDN,Indonesia,Indonesia
IRN,Iran,Iran
IRQ,Iraq,Iraq
IRL,Ireland,Ireland
IMN,Isle of Man,Isle of Man
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
XJM,Jan Mayen,Jan Mayen
JPN,Japan,Japan
XJV,Jarvis Island,Jarvis Island
JEY,Jersey,Jersey
XJA,Johnston Atoll,Johnston Atoll
JOR,Jordan,Jordan
XJN,Juan de Nova Island,Juan de Nova Island
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
XKR,Kingman Reef,Kingman Reef
KIR,Kiribati,Kiribati
PRK,"Korea, North","Korea, Democratic Republic of"
KOR,"Korea, South","Korea, Republic of"
XKS,Kosovo,Kosovo
KWT,Kuwait,Kuwait
KGZ,Kyrgyzstan,Kyrgyzstan
LAO,Laos,Laos
LVA,Latvia,Latvia
LBN,Lebanon,Lebanon
LSO,Lesotho,Lesotho
LBR,Liberia,Liberia
LBY,Libya,Libya
LIE,Liechtenstein,Liechtenstein
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
MAC,Macau,Macau
MKD,Macedonia,Macedonia
MDG,Madagascar,Madagascar
MWI,Malawi,Malawi
MYS,Malaysia,Malaysia
MDV,Maldives,Maldives
MLI,Mali,Mali
MLT,Malta,Malta
MHL,Marshall Islands,Marshall Islands
MTQ,Martinique,Martinique
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MYT,Mayotte,Mayotte
MEX,Mexico,Mexico
FSM,"Micronesia, Federated States of","Micronesia, Federated States of"
XMW,Midway Islands,Midway Islands
MDA,Moldova,Moldova
MCO,Monaco,Monaco
MNG,Mongolia,Mongolia
MNE,Montenegro,Montenegro
MSR,Montserrat,Montserrat
MAR,Morocco,Morocco
MOZ,Mozambique,Mozambique
NAM,Namibia,Namibia
NRU,Nauru,Nauru
XNV,Navassa Island,Navassa Island
NPL,Nepal,Nepal
NLD,Netherlands,Netherlands
NCL,New Caledonia,New Caledonia
NZL,New Zealand,New Zealand
NIC,Nicaragua,Nicaragua
NER,Niger,Niger
