Country,Region
Asia Region,East Asia and Oceania Region
Ashmore and Cartier Islands,East Asia and Oceania Region
Australia,East Asia and Oceania Region
Brunei,East Asia and Oceania Region
Burma,East Asia and Oceania Region
Cambodia,East Asia and Oceania Region
China,East Asia and Oceania Region
Christmas Island,East Asia and Oceania Region
Clipperton Island,East Asia and Oceania Region
Cocos (Keeling) Islands,East Asia and Oceania Region
Cook Islands,East Asia and Oceania Region
Coral Sea Islands,East Asia and Oceania Region
East Asia and Pacific (East Asia),East Asia and Oceania Region
East Asia and Oceania Region,East Asia and Oceania Region
Eastern Asia Region,East Asia and Oceania Region
Fiji,East Asia and Oceania Region
French Polynesia,East Asia and Oceania Region
Hong Kong,East Asia and Oceania Region
Indonesia,East Asia and Oceania Region
Japan,East Asia and Oceania Region
Kiribati,East Asia and Oceania Region
"Kiribati, Republic of",East Asia and Oceania Region
"Korea, Democratic Republic of",East Asia and Oceania Region
"Korea, Republic of",East Asia and Oceania Region
Laos,East Asia and Oceania Region
Macau,East Asia and Oceania Region
Malaysia,East Asia and Oceania Region
Marshall Islands,East Asia and Oceania Region
"Micronesia, Federated States of",East Asia and Oceania Region
Mongolia,East Asia and Oceania Region
Nauru,East Asia and Oceania Region
New Caledonia,East Asia and Oceania Region
New Zealand,East Asia and Oceania Region
Niue,East Asia and Oceania Region
Norfolk Island,East Asia and Oceania Region
Oceania Region,East Asia and Oceania Region
Palau,East Asia and Oceania Region
Papua New Guinea,East Asia and Oceania Region
Paracel Islands,East Asia and Oceania Region
Philippines,East Asia and Oceania Region
Pitcairn Islands,East Asia and Oceania Region
Samoa,East Asia and Oceania Region
Singapore,East Asia and Oceania Region
Solomon Islands,East Asia and Oceania Region
South East Asia Region,East Asia and Oceania Region
Spratly Islands,East Asia and Oceania Region
Taiwan,East Asia and Oceania Region
Thailand,East Asia and Oceania Region
Timor-Leste,East Asia and Oceania Region
Tokelau,East Asia and Oceania Region
Tonga,East Asia and Oceania Region
Tuvalu,East Asia and Oceania Region
Vanuatu,East Asia and Oceania Region
Vietnam,East Asia and Oceania Region
Wallis and Futuna,East Asia and Oceania Region
Europe,Europe and Eurasia Region
Europe and Eurasia region,Europe and Eurasia Region
Europe and Eurasia Region,Europe and Eurasia Region
Europe Region,Europe and Eurasia Region
Akrotiri,Europe and Eurasia Region
Albania,Europe and Eurasia Region
Andorra,Europe and Eurasia Region
Armenia,Europe and Eurasia Region
Austria,Europe and Eurasia Region
Azerbaijan,Europe and Eurasia Region
Belarus,Europe and Eurasia Region
Belgium,Europe and Eurasia Region
Bermuda,Europe and Eurasia Region
Bosnia and Herzegovina,Europe and Eurasia Region
Bulgaria,Europe and Eurasia Region
Central and Eastern Europe Region,Europe and Eurasia Region
Croatia,Europe and Eurasia Region
Cyprus,Europe and Eurasia Region
Czechia,Europe and Eurasia Region
Czech Republic,Europe and Eurasia Region
Denmark,Europe and Eurasia Region
Dhekelia,Europe and Eurasia Region
Estonia,Europe and Eurasia Region
Europe and Eurasia (Eurasia),Europe and Eurasia Region
Eurasia Region,Europe and Eurasia Region
Europe Region,Europe and Eurasia Region
Faroe Islands,Europe and Eurasia Region
Finland,Europe and Eurasia Region
France,Europe and Eurasia Region
Georgia,Europe and Eurasia Region
Germany,Europe and Eurasia Region
Gibraltar,Europe and Eurasia Region
Greece,Europe and Eurasia Region
Greenland,Europe and Eurasia Region
Guernsey,Europe and Eurasia Region
Hungary,Europe and Eurasia Region
Iceland,Europe and Eurasia Region
Ireland,Europe and Eurasia Region
Isle of Man,Europe and Eurasia Region
Italy,Europe and Eurasia Region
Jan Mayen,Europe and Eurasia Region
Jersey,Europe and Eurasia Region
Kosovo,Europe and Eurasia Region
Latvia,Europe and Eurasia Region
Liechtenstein,Europe and Eurasia Region
Lithuania,Europe and Eurasia Region
Luxembourg,Europe and Eurasia Region
Macedonia,Europe and Eurasia Region
Malta,Europe and Eurasia Region
Moldova,Europe and Eurasia Region
Monaco,Europe and Eurasia Region
Montenegro,Europe and Eurasia Region
Netherland Antilles,Europe and Eurasia Region
Netherlands,Europe and Eurasia Region
North Macedonia,Europe and Eurasia Region
Norway,Europe and Eurasia Region
Poland,Europe and Eurasia Region
Portugal,Europe and Eurasia Region
Romania,Europe and Eurasia Region
Russia,Europe and Eurasia Region
San Marino,Europe and Eurasia Region
Serbia,Europe and Eurasia Region
Slovakia,Europe and Eurasia Region
Slovak Republic,Europe and Eurasia Region
Slovenia,Europe and Eurasia Region
Spain,Europe and Eurasia Region
Svalbard,Europe and Eurasia Region
Sweden,Europe and Eurasia Region
